record_id,panel_rows,finite_count,coverage,zero_share,mean,std,minimum,maximum,bin_lower,bin_upper,unit_interval_bins
f47_voljump_c__side_total__den_all_orders__win_0930_0935,1017106,1014445,0.9973837535124166,0.017709190739764107,0.012820483905044948,0.019934223010039647,0.0,0.38357182572959725,0.0,1.0,True
f51_revcycle_c__side_absnet__den_all_orders__win_0930_0935,1017106,1014445,0.9973837535124166,0.008195614350704079,0.014325949724293914,0.01376939776379467,0.0,0.17225599568691652,0.0,1.0,True
f51_revcycle_c__side_buy__den_all_orders__win_0930_0935,1017106,1014445,0.9973837535124166,0.016386299897973768,0.02127738850478536,0.01734208629441795,0.0,0.17957978090934462,0.0,1.0,True
f51_revcycle_c__side_net__den_all_orders__win_0930_0935,1017106,1014445,0.9973837535124166,0.008195614350704079,0.000806083108830472,0.019853951251633736,-0.17225599568691652,0.16611612775343973,-0.17225599568691652,0.16611612775343973,False
f51_revcycle_c__side_sell__den_all_orders__win_0930_0935,1017106,1014445,0.9973837535124166,0.01477162389286753,0.020471305395954886,0.016531122317046305,0.0,0.18718843714045583,0.0,1.0,True
f51_revcycle_c__side_total__den_all_orders__win_0930_0935,1017106,1014445,0.9973837535124166,0.008195614350704079,0.0417486939007402,0.027456739498821166,0.0,0.22647726976263233,0.0,1.0,True
f52_costcycle_c__side_absnet__den_all_orders__win_0930_0935,1017106,1014445,0.9973837535124166,0.24605276776956858,0.0005816224443491644,0.0007121121196690214,0.0,0.02699479640382428,0.0,1.0,True
f52_costcycle_c__side_buy__den_all_orders__win_0930_0935,1017106,1014445,0.9973837535124166,0.35954931021395936,0.0005805257605518641,0.0007227735736748367,0.0,0.027522037692057206,0.0,1.0,True
f52_costcycle_c__side_net__den_all_orders__win_0930_0935,1017106,1014445,0.9973837535124166,0.24605276776956858,0.00011696868985025102,0.0009119795306611434,-0.018323287360661498,0.02699479640382428,-0.018323287360661498,0.02699479640382428,False
f52_costcycle_c__side_sell__den_all_orders__win_0930_0935,1017106,1014445,0.9973837535124166,0.4162364642735683,0.0004635570707016125,0.0006545929318495037,0.0,0.018323287360661498,0.0,1.0,True
f52_costcycle_c__side_total__den_all_orders__win_0930_0935,1017106,1014445,0.9973837535124166,0.24605276776956858,0.0010440828312534762,0.0010344469179784563,0.0,0.02804927898029013,0.0,1.0,True
f54_algo_union_strength__den_all_orders__win_0930_0935,1017106,1014445,0.9973837535124166,9.857606868780467e-07,0.32139030580406536,0.10106982925174283,0.0,0.878168803983274,0.0,1.0,True
f55_algo_family_breadth__den_all_orders__win_0930_0935,1017106,1014445,0.9973837535124166,9.857606868780467e-07,0.14791654371156027,0.06122551651279038,0.0,0.5536232895550117,0.0,1.0,True
f56_algo_second_strongest_family__den_all_orders__win_0930_0935,1017106,1014445,0.9973837535124166,0.001370207354760485,0.15302981310766284,0.07472572240531279,0.0,0.826993391375411,0.0,1.0,True
f57_algo_third_strongest_family__den_all_orders__win_0930_0935,1017106,1014445,0.9973837535124166,0.003167249086939164,0.09141313515244757,0.05280681542576576,0.0,0.4873962155702086,0.0,1.0,True
f58_algo_spread_wide__side_absnet__den_all_orders__win_0930_0935,1017106,1014445,0.9973837535124166,0.012562534193573826,0.03062887162196573,0.038284488567434126,0.0,0.5336362962768031,0.0,1.0,True
f58_algo_spread_wide__side_buy__den_all_orders__win_0930_0935,1017106,1014445,0.9973837535124166,0.017633287166874498,0.0648940767006935,0.06497004910531949,0.0,0.5833701700829845,0.0,1.0,True
f58_algo_spread_wide__side_net__den_all_orders__win_0930_0935,1017106,1014445,0.9973837535124166,0.012562534193573826,0.004738974048383587,0.048799302932250974,-0.5336362962768031,0.4908886063708622,-0.5336362962768031,0.4908886063708622,False
f58_algo_spread_wide__side_sell__den_all_orders__win_0930_0935,1017106,1014445,0.9973837535124166,0.01814193968130357,0.060155102652309944,0.06301769978923275,0.0,0.5790531593540224,0.0,1.0,True
f58_algo_spread_wide__side_total__den_all_orders__win_0930_0935,1017106,1014445,0.9973837535124166,0.012390026073370168,0.1250491793530035,0.11833555496245995,0.0,0.7668775187859407,0.0,1.0,True
f59_algo_queue_crowded__side_absnet__den_all_orders__win_0930_0935,1017106,1014445,0.9973837535124166,4.928803434390233e-06,0.05855905838807552,0.048553559874336044,0.0,0.5548934183835041,0.0,1.0,True
f59_algo_queue_crowded__side_buy__den_all_orders__win_0930_0935,1017106,1014445,0.9973837535124166,0.001162211849829217,0.09844534638734864,0.04868108633903408,0.0,0.570283523626767,0.0,1.0,True
f59_algo_queue_crowded__side_net__den_all_orders__win_0930_0935,1017106,1014445,0.9973837535124166,4.928803434390233e-06,0.005248689031134198,0.0758884889770723,-0.5548934183835041,0.5208585806589455,-0.5548934183835041,0.5208585806589455,False
f59_algo_queue_crowded__side_sell__den_all_orders__win_0930_0935,1017106,1014445,0.9973837535124166,0.0018118281424818496,0.09319665735621438,0.046856223875917195,0.0,0.5820118176090301,0.0,1.0,True
f59_algo_queue_crowded__side_total__den_all_orders__win_0930_0935,1017106,1014445,0.9973837535124166,4.928803434390233e-06,0.19164200374356286,0.05806586783037013,0.0,0.6197084665945886,0.0,1.0,True
f60_algo_opponent_thin__side_absnet__den_all_orders__win_0930_0935,1017106,1014445,0.9973837535124166,9.857606868780467e-07,0.00466408986354064,0.010361896465010489,0.0,0.8768287001542049,0.0,1.0,True
f60_algo_opponent_thin__side_buy__den_all_orders__win_0930_0935,1017106,1014445,0.9973837535124166,0.00010843367555658513,0.008685919658288773,0.01126443504993795,0.0,0.7881830058037743,0.0,1.0,True
f60_algo_opponent_thin__side_net__den_all_orders__win_0930_0935,1017106,1014445,0.9973837535124166,9.857606868780467e-07,0.0012272374798208956,0.0112967482389802,-0.8768287001542049,0.7881827730775703,-0.8768287001542049,0.7881827730775703,False
f60_algo_opponent_thin__side_sell__den_all_orders__win_0930_0935,1017106,1014445,0.9973837535124166,0.00013899225684980458,0.0074586821784678745,0.007624457892038886,0.0,0.8768288991288553,0.0,1.0,True
f60_algo_opponent_thin__side_total__den_all_orders__win_0930_0935,1017106,1014445,0.9973837535124166,9.857606868780467e-07,0.016144601836756655,0.015569945070827523,0.0,0.8768290981035057,0.0,1.0,True
f61_algo_book_align__side_absnet__den_all_orders__win_0930_0935,1017106,1014445,0.9973837535124166,1.182912824253656e-05,0.032015002995192395,0.02826375141004179,0.0,0.8768288991288554,0.0,1.0,True
f61_algo_book_align__side_buy__den_all_orders__win_0930_0935,1017106,1014445,0.9973837535124166,0.014556728063128114,0.03981576361629904,0.030360407418991552,0.0,0.7881911888454298,0.0,1.0,True
f61_algo_book_align__side_net__den_all_orders__win_0930_0935,1017106,1014445,0.9973837535124166,1.182912824253656e-05,0.010044971871832316,0.04150781373000648,-0.8768288991288554,0.7881911888454298,-0.8768288991288554,0.7881911888454298,False
f61_algo_book_align__side_sell__den_all_orders__win_0930_0935,1017106,1014445,0.9973837535124166,0.024875670933367507,0.029770791744466715,0.025812414405560116,0.0,0.8768288991288554,0.0,1.0,True
f61_algo_book_align__side_total__den_all_orders__win_0930_0935,1017106,1014445,0.9973837535124166,1.182912824253656e-05,0.06958655536076577,0.03812048729408022,0.0,0.8768288991288554,0.0,1.0,True
f62_algo_book_oppose__side_absnet__den_all_orders__win_0930_0935,1017106,1014445,0.9973837535124166,0.0002217961545475605,0.028004381560533267,0.024715138839246413,0.0,0.3341742711089368,0.0,1.0,True
f62_algo_book_oppose__side_buy__den_all_orders__win_0930_0935,1017106,1014445,0.9973837535124166,0.02800743263557906,0.021616636773514844,0.020914430297207832,0.0,0.32797533255049965,0.0,1.0,True
f62_algo_book_oppose__side_net__den_all_orders__win_0930_0935,1017106,1014445,0.9973837535124166,0.0002217961545475605,-0.006057712072804372,0.03685631016358206,-0.3341742711089368,0.32797533255049965,-0.3341742711089368,0.32797533255049965,False
f62_algo_book_oppose__side_sell__den_all_orders__win_0930_0935,1017106,1014445,0.9973837535124166,0.017118720088324157,0.02767434884631921,0.023788007636355024,0.0,0.3341742711089368,0.0,1.0,True
f62_algo_book_oppose__side_total__den_all_orders__win_0930_0935,1017106,1014445,0.9973837535124166,0.0002217961545475605,0.04929098561983405,0.02545933630427037,0.0,0.3341742711089368,0.0,1.0,True
