column_a,column_b,common_n,equality_rate,mean_absolute_difference,max_absolute_difference
dm03_price_room_buy,dm10_excess_cancel_buy,1714613,0.2505335023121836,0.002465353264703819,0.06578947368421052
dm03_price_room_buy,dm10_excess_cancel_sell,1714613,0.252498960406809,0.0024759170117324863,0.06578947368421052
dm03_price_room_buy,dm11_recent_buy,1714613,0.0349454949892483,0.001692862638329991,0.05517118928893394
dm03_price_room_buy,dm11_recent_sell,1714613,0.035038227285107484,0.0018862853968613638,0.06525475322921526
dm03_price_room_buy,dm12_persistent_buy,1714613,0.07568238430479647,0.008288554783726946,0.08924880049659764
dm03_price_room_buy,dm12_persistent_sell,1714613,0.07209265297766901,0.009078060825649487,0.10830836990678305
dm03_price_room_sell,dm04_price_cap_buy,1714613,0.04710975596242417,0.007798984991597402,0.11458333333333333
dm03_price_room_sell,dm04_price_cap_sell,1714613,0.048973150209405854,0.008493409530868532,0.10828025477707007
dm03_price_room_sell,dm05_lot_floor_buy,1714613,0.038234283771323326,0.010390936512085419,0.125
dm03_price_room_sell,dm05_lot_floor_sell,1714613,0.039906381206721284,0.011116539003837283,0.11526794742163801
dm03_price_room_sell,dm06_soft_under_buy,1714613,0.03768663832596627,0.010300205322324058,0.125
dm03_price_room_sell,dm06_soft_under_sell,1714613,0.039298663896751046,0.011029517467114548,0.11526794742163801
dm03_price_room_sell,dm07_fresh_match_buy,1714613,0.13015415140326125,0.002420863410510492,0.07017543859649122
dm03_price_room_sell,dm07_fresh_match_sell,1714613,0.13033028444319505,0.002413346964699189,0.07017543859649122
dm03_price_room_sell,dm08_adaptive_repeat_buy,1714613,0.2454781341328918,0.0019636888053960466,0.07017543859649122
dm03_price_room_sell,dm08_adaptive_repeat_sell,1714613,0.24715023156828975,0.0019062648091886546,0.07017543859649122
dm03_price_room_sell,dm09_two_level_buy,1714613,0.26074805218437047,0.0022202796748190426,0.07054963084495487
dm03_price_room_sell,dm09_two_level_sell,1714613,0.26029780481076487,0.0022134912132488684,0.07219031993437243
dm03_price_room_sell,dm10_excess_cancel_buy,1714613,0.24278364855509668,0.002536042458841601,0.07383100902378999
dm03_price_room_sell,dm10_excess_cancel_sell,1714613,0.24464879246803797,0.002546104852218428,0.07383100902378999
dm03_price_room_sell,dm11_recent_buy,1714613,0.032297667170376056,0.0018308092698414234,0.07017543859649122
dm03_price_room_sell,dm11_recent_sell,1714613,0.03758282481236291,0.0017337942777362252,0.06481120643035859
dm03_price_room_sell,dm12_persistent_buy,1714613,0.0695579702241847,0.008306611398371971,0.1029243366897406
dm03_price_room_sell,dm12_persistent_sell,1714613,0.07691531558433302,0.008949934295326445,0.10830836990678305
dm04_price_cap_buy,dm04_price_cap_sell,1714613,0.06783046670006584,0.005141448235496057,0.10810810810810811
dm04_price_cap_buy,dm05_lot_floor_buy,1714613,0.23900786941426433,0.0027197744497138112,0.06578947368421052
dm04_price_cap_buy,dm05_lot_floor_sell,1714613,0.061834944678478464,0.006236364250171041,0.10810810810810811
dm04_price_cap_buy,dm06_soft_under_buy,1714613,0.23360840026291646,0.002627953877609371,0.06578947368421052
dm04_price_cap_buy,dm06_soft_under_sell,1714613,0.0588342675577521,0.006182264132023499,0.10810810810810811
dm04_price_cap_buy,dm07_fresh_match_buy,1714613,0.07007587134822843,0.007156998377639362,0.09146341463414634
dm04_price_cap_buy,dm07_fresh_match_sell,1714613,0.05977558784402078,0.007198869670296526,0.11458333333333333
dm04_price_cap_buy,dm08_adaptive_repeat_buy,1714613,0.03844482690846272,0.008998839914911124,0.10416666666666666
dm04_price_cap_buy,dm08_adaptive_repeat_sell,1714613,0.043423793007518315,0.008964481731687608,0.11458333333333333
dm04_price_cap_buy,dm09_two_level_buy,1714613,0.03891490382961053,0.00977720624199686,0.11458333333333333
dm04_price_cap_buy,dm09_two_level_sell,1714613,0.03895223003674882,0.009777868012396482,0.11458333333333333
dm04_price_cap_buy,dm10_excess_cancel_buy,1714613,0.0388099238720341,0.01011633761955122,0.11458333333333333
dm04_price_cap_buy,dm10_excess_cancel_sell,1714613,0.03872768957193256,0.010137593057898258,0.11458333333333333
dm04_price_cap_buy,dm11_recent_buy,1714613,0.0349454949892483,0.007337546844145827,0.08352775555380283
dm04_price_cap_buy,dm11_recent_sell,1714613,0.01901653609298425,0.007347188664917771,0.11423198147101522
dm04_price_cap_buy,dm12_persistent_buy,1714613,0.037879684803509596,0.0024132827999094907,0.07407407407407407
dm04_price_cap_buy,dm12_persistent_sell,1714613,0.02809788564533221,0.0055864363847523656,0.11458333333333333
dm04_price_cap_sell,dm05_lot_floor_buy,1714613,0.06420049305586742,0.005740317140488071,0.1172901921132457
dm04_price_cap_sell,dm05_lot_floor_sell,1714613,0.2327259853972879,0.0027769350324433205,0.07383100902378999
dm04_price_cap_sell,dm06_soft_under_buy,1714613,0.06109075342365887,0.005693395640863522,0.1172901921132457
dm04_price_cap_sell,dm06_soft_under_sell,1714613,0.22548995021033902,0.002689871073211143,0.07383100902378999
dm04_price_cap_sell,dm07_fresh_match_buy,1714613,0.056281504922685174,0.008139985247764273,0.10810810810810811
dm04_price_cap_sell,dm07_fresh_match_sell,1714613,0.07590809121358581,0.007557006847373151,0.10810810810810811
dm04_price_cap_sell,dm08_adaptive_repeat_buy,1714613,0.04528485436655385,0.009737222529821727,0.11425682507583416
dm04_price_cap_sell,dm08_adaptive_repeat_sell,1714613,0.041391847606427806,0.009640535776338471,0.10810810810810811
dm04_price_cap_sell,dm09_two_level_buy,1714613,0.041756361348012645,0.010487024775108338,0.11425682507583416
dm04_price_cap_sell,dm09_two_level_sell,1714613,0.04183451309420843,0.010486093609938067,0.11122345803842264
dm04_price_cap_sell,dm10_excess_cancel_buy,1714613,0.041716702252928214,0.010826873368581085,0.11526794742163801
dm04_price_cap_sell,dm10_excess_cancel_sell,1714613,0.04162746928898824,0.010846050132978796,0.11526794742163801
dm04_price_cap_sell,dm11_recent_buy,1714613,0.01905969451998789,0.008202937034924028,0.10810810810810811
dm04_price_cap_sell,dm11_recent_sell,1714613,0.03758282481236291,0.007873627076399653,0.08957048863443033
dm04_price_cap_sell,dm12_persistent_buy,1714613,0.029237501407023043,0.005430294854048527,0.10810810810810811
dm04_price_cap_sell,dm12_persistent_sell,1714613,0.04071531010204635,0.0024359285115730157,0.07317073170731707
dm05_lot_floor_buy,dm05_lot_floor_sell,1714613,0.0641870789501771,0.005437682207998353,0.11458333333333333
dm05_lot_floor_buy,dm06_soft_under_buy,1714613,0.8188296717684982,0.00010478627551871124,0.03389830508474576
dm05_lot_floor_buy,dm06_soft_under_sell,1714613,0.060578101297493955,0.005423417379193523,0.11458333333333333
dm05_lot_floor_buy,dm07_fresh_match_buy,1714613,0.056998284744137595,0.009864701893069514,0.11627906976744187
dm05_lot_floor_buy,dm07_fresh_match_sell,1714613,0.04997337591631464,0.009799787422434042,0.12740141557128412
dm05_lot_floor_buy,dm08_adaptive_repeat_buy,1714613,0.0339417699504203,0.011718381085621123,0.11458333333333333
dm05_lot_floor_buy,dm08_adaptive_repeat_sell,1714613,0.037125578774918885,0.01166793956329812,0.12942366026289182
dm05_lot_floor_buy,dm09_two_level_buy,1714613,0.0342257990578632,0.012495804448677586,0.125
dm05_lot_floor_buy,dm09_two_level_sell,1714613,0.03425204404725731,0.012496308352954143,0.12740141557128412
dm05_lot_floor_buy,dm10_excess_cancel_buy,1714613,0.03438501866018746,0.01283558191111785,0.12841253791708798
dm05_lot_floor_buy,dm10_excess_cancel_sell,1714613,0.034296368918234024,0.01285683156907903,0.1263902932254803
dm05_lot_floor_buy,dm11_recent_buy,1714613,0.0339417699504203,0.010052886898682096,0.09585114508897459
dm05_lot_floor_buy,dm11_recent_sell,1714613,0.018013977498129316,0.009984073080721747,0.1246486481376819
dm05_lot_floor_buy,dm12_persistent_buy,1714613,0.033959849832002904,0.0021699150294914368,0.07407407407407407
dm05_lot_floor_buy,dm12_persistent_sell,1714613,0.02599420393989781,0.005374519571714256,0.125
