period,formal_column,group,typical_within_std,mean_return
2024,dm04_price_cap_buy,5,0.010059918336924963,-4.717055270381171e-05
2024,dm04_price_cap_buy,6,0.009615329984799848,-0.00012312738298318878
2024,dm04_price_cap_buy,7,0.009369560911315272,-8.828475304649111e-05
2024,dm04_price_cap_buy,8,0.009049553022016009,-0.00017422716089581812
2024,dm04_price_cap_buy,9,0.008749988811736146,-0.00018864037967678742
2024,dm04_price_cap_buy,10,0.008472125454545584,-8.020712380678141e-05
2024,dm04_price_cap_sell,1,0.011739453192398528,0.0005752682370447009
2024,dm04_price_cap_sell,2,0.011556971862881852,0.00018695292478416892
2024,dm04_price_cap_sell,3,0.011274286067309711,7.005655807371556e-05
2024,dm04_price_cap_sell,4,0.01063568730418842,-0.00010543646351967362
2024,dm04_price_cap_sell,5,0.010025459255901738,-0.00013880776723993184
2024,dm04_price_cap_sell,6,0.009640313806107042,-0.00016831476892029674
2024,dm04_price_cap_sell,7,0.009278192232087508,-0.00023417535660103227
2024,dm04_price_cap_sell,8,0.009001343555539785,-0.00030736518658314085
2024,dm04_price_cap_sell,9,0.00856430042326318,-0.00034728109753242133
2024,dm04_price_cap_sell,10,0.007968891862240481,-0.0004016706462980639
2024,dm05_lot_floor_buy,1,0.01042085990678828,-0.00016893201944587143
2024,dm05_lot_floor_buy,2,0.01091952115355624,-5.3903049761064134e-05
2024,dm05_lot_floor_buy,3,0.010849437475058702,-2.9547904019369756e-05
2024,dm05_lot_floor_buy,4,0.010519782542705618,-3.905703659203286e-05
2024,dm05_lot_floor_buy,5,0.01060118869767231,-1.201303510633826e-05
2024,dm05_lot_floor_buy,6,0.010068095862338184,-6.483028910250657e-05
2024,dm05_lot_floor_buy,7,0.009737441248561782,-7.138068528427232e-05
2024,dm05_lot_floor_buy,8,0.009355016216321826,-0.00015458478956062506
2024,dm05_lot_floor_buy,9,0.00915782465961501,-0.00013221343045847272
2024,dm05_lot_floor_buy,10,0.008574449612652291,-0.00014592909058775588
2024,dm05_lot_floor_sell,1,0.010568365016255694,0.0003904711303114534
2024,dm05_lot_floor_sell,2,0.010884968894654833,0.0001059602228762371
2024,dm05_lot_floor_sell,3,0.010981537050059827,-4.097987460272867e-06
