date,label,record_id,short_alias,formal_column,aggregation,factor_count,n,pearson_ic,rank_ic,pearson_ic_rolling20,pearson_ic_cumulative,rank_ic_rolling20,rank_ic_cumulative
2024-01-04,ret_intraday_vwap_0944_0945_from_d1_0935_last,dm01_exact_sell,dm01_exact_sell,dm01_exact_sell,sell,2834,2823,0.07368724791201542,0.16767711424515122,,-0.06569083062939839,,-0.05056036661779503
2024-01-04,ret_intraday_vwap_0944_0945_from_d1_0935_last,dm02_confirmed_buy,dm02_confirmed_buy,dm02_confirmed_buy,buy,2834,2823,0.04698782757574089,0.1136531360222796,,-0.10446044364944579,,-0.1138930961622558
2024-01-04,ret_intraday_vwap_0944_0945_from_d1_0935_last,dm02_confirmed_sell,dm02_confirmed_sell,dm02_confirmed_sell,sell,2834,2823,0.07361161066725691,0.16757279979303014,,-0.0658085495424546,,-0.05067538648643932
2024-01-04,ret_intraday_vwap_0944_0945_from_d1_0935_last,dm03_price_room_buy,dm03_price_room_buy,dm03_price_room_buy,buy,2834,2823,0.025975739193991734,0.07756180628471389,,-0.12258323835473146,,-0.14138908619477564
2024-01-04,ret_intraday_vwap_0944_0945_from_d1_0935_last,dm03_price_room_sell,dm03_price_room_sell,dm03_price_room_sell,sell,2834,2823,0.04356413114362113,0.10393762875244719,,-0.1081349355486288,,-0.13152942380992633
2024-01-04,ret_intraday_vwap_0944_0945_from_d1_0935_last,dm04_price_cap_buy,dm04_price_cap_buy,dm04_price_cap_buy,buy,2834,2823,0.05027871912951454,0.12009535499193215,,-0.0841230673827551,,-0.08812033011707573
2024-01-04,ret_intraday_vwap_0944_0945_from_d1_0935_last,dm04_price_cap_sell,dm04_price_cap_sell,dm04_price_cap_sell,sell,2834,2823,0.07594982884240663,0.1737817471071072,,-0.042326737271018655,,-0.023393960195793262
2024-01-04,ret_intraday_vwap_0944_0945_from_d1_0935_last,dm05_lot_floor_buy,dm05_lot_floor_buy,dm05_lot_floor_buy,buy,2834,2823,0.048390419287796596,0.11392866196727744,,-0.10320867508192388,,-0.11409878078236797
2024-01-04,ret_intraday_vwap_0944_0945_from_d1_0935_last,dm05_lot_floor_sell,dm05_lot_floor_sell,dm05_lot_floor_sell,sell,2834,2823,0.07416805880237409,0.1676873871264193,,-0.0651300695560538,,-0.050696381532853885
2024-01-04,ret_intraday_vwap_0944_0945_from_d1_0935_last,dm06_soft_under_buy,dm06_soft_under_buy,dm06_soft_under_buy,buy,2834,2823,0.04760947207755934,0.11402632587046606,,-0.10422729341851628,,-0.11399632132820876
2024-01-04,ret_intraday_vwap_0944_0945_from_d1_0935_last,dm06_soft_under_sell,dm06_soft_under_sell,dm06_soft_under_sell,sell,2834,2823,0.07357046259320575,0.1673589992253815,,-0.06573965256329964,,-0.050757952552248964
2024-01-04,ret_intraday_vwap_0944_0945_from_d1_0935_last,dm07_fresh_match_buy,dm07_fresh_match_buy,dm07_fresh_match_buy,buy,2834,2823,0.029984577177627907,0.07946665898094954,,-0.045701346516710636,,-0.07741908209403776
2024-01-04,ret_intraday_vwap_0944_0945_from_d1_0935_last,dm07_fresh_match_sell,dm07_fresh_match_sell,dm07_fresh_match_sell,sell,2834,2823,0.07105953405564258,0.16665040217700192,,-0.02632503767683783,,0.023042770141127933
2024-01-04,ret_intraday_vwap_0944_0945_from_d1_0935_last,dm08_adaptive_repeat_buy,dm08_adaptive_repeat_buy,dm08_adaptive_repeat_buy,buy,2834,2823,0.021690051485167547,0.035712749387601675,,-0.0945111142889216,,-0.15793635788351112
2024-01-04,ret_intraday_vwap_0944_0945_from_d1_0935_last,dm08_adaptive_repeat_sell,dm08_adaptive_repeat_sell,dm08_adaptive_repeat_sell,sell,2834,2823,0.041257448412745944,0.1102347230206277,,-0.027378124770874493,,-0.044649673362260764
2024-01-04,ret_intraday_vwap_0944_0945_from_d1_0935_last,dm09_two_level_buy,dm09_two_level_buy,dm09_two_level_buy,buy,2834,2823,-0.012649387178339695,0.014199774373883985,,-0.10967275115521302,,-0.1864292993395553
2024-01-04,ret_intraday_vwap_0944_0945_from_d1_0935_last,dm09_two_level_sell,dm09_two_level_sell,dm09_two_level_sell,sell,2834,2823,0.01607158933719042,0.030111991323602604,,-0.12626596808192092,,-0.19981428857856479
2024-01-04,ret_intraday_vwap_0944_0945_from_d1_0935_last,dm10_excess_cancel_buy,dm10_excess_cancel_buy,dm10_excess_cancel_buy,buy,2834,2823,-0.03823602999783053,-0.06316587225544358,,-0.12508767813151497,,-0.1796082752133528
2024-01-04,ret_intraday_vwap_0944_0945_from_d1_0935_last,dm10_excess_cancel_sell,dm10_excess_cancel_sell,dm10_excess_cancel_sell,sell,2834,2823,0.023517610330168158,0.03382882473356595,,-0.05961108482261085,,-0.08264295505931857
2024-01-04,ret_intraday_vwap_0944_0945_from_d1_0935_last,dm11_recent_buy,dm11_recent_buy,dm11_recent_buy,buy,2834,2823,0.06346444785217185,0.11656240278493868,,-0.04437422796053432,,-0.07643533810309716
2024-01-04,ret_intraday_vwap_0944_0945_from_d1_0935_last,dm11_recent_sell,dm11_recent_sell,dm11_recent_sell,sell,2834,2823,0.055985283417586594,0.13636859196139917,,-0.11033070923222676,,-0.11715428431292813
2024-01-04,ret_intraday_vwap_0944_0945_from_d1_0935_last,dm12_persistent_buy,dm12_persistent_buy,dm12_persistent_buy,buy,2834,2823,0.04325139346833792,0.10880202331811252,,-0.11373010110426826,,-0.13223162209251635
