period,formal_column,mean,std,icir,ordinary_t,nw_se,nw_t,ci_low,ci_high,positive_fraction,valid_days
2025,dm05_lot_floor_sell,-0.0003237677979167011,0.0031976203438923707,-0.10125273268764232,-1.578373896781679,0.00020745456778260138,-1.5606684459991658,-0.0007303787507705998,8.28431549371976e-05,0.5020576131687243,243
2025,dm06_soft_under_buy,0.0003215568165554322,0.0030330120637308048,0.10601897051470877,1.652672191478601,0.0002044243880707612,1.5729865677480994,-7.911498406325973e-05,0.0007222286171741241,0.5679012345679012,243
2025,dm06_soft_under_sell,-0.00031177520835394074,0.003193543493506556,-0.09762672999064345,-1.5218501086854246,0.0002070705291445772,-1.5056474218803897,-0.000717633445477312,9.408302876943059e-05,0.5061728395061729,243
2025,dm07_fresh_match_buy,0.00013790016220535613,0.002121778564550007,0.06499272096973154,1.0131362535755,0.00014676149839094678,0.9396208386890026,-0.0001497523746408996,0.00042555269905161184,0.5679012345679012,243
2025,dm07_fresh_match_sell,-0.00028326427549189615,0.0026845473365952996,-0.10551658807817801,-1.6448408243344874,0.00017700269086170424,-1.6003388090479156,-0.0006301895495808364,6.366099859704414e-05,0.4691358024691358,243
2025,dm08_adaptive_repeat_buy,-0.003845614244057975,0.007627473703601668,-0.5041792857630029,-1.1273791558133663,0.0029317998348387577,-1.311690586226353,-0.009591941920341941,0.0019007134322259903,0.2,5
2025,dm08_adaptive_repeat_sell,-0.0022651848823846176,0.008656312754188584,-0.2616801110020601,-0.585134516560297,0.003159077882937039,-0.7170398978193736,-0.008456977532941215,0.0039266077681719795,0.6,5
2025,dm09_two_level_buy,,,,,,,,,,0
2025,dm09_two_level_sell,,,,,,,,,,0
2025,dm10_excess_cancel_buy,,,,,,,,,,0
2025,dm10_excess_cancel_sell,,,,,,,,,,0
2025,dm11_recent_buy,0.0004503002279964383,0.003098905978408991,0.14530941923821353,2.2651496724502107,0.00020836644356402457,2.161097633065254,4.190199861095012e-05,0.0008586984573819265,0.5843621399176955,243
2025,dm11_recent_sell,-0.0003604549729975607,0.003156210163711239,-0.11420499722797883,-1.7802797190940993,0.00020322011895157274,-1.77371696688878,-0.0007587664061426433,3.785646014752188e-05,0.48148148148148145,243
2025,dm12_persistent_buy,0.0002790435179096733,0.003170396063368907,0.0880153496068746,1.3720235162853978,0.00021029725016519232,1.3269004596611678,-0.00013313909241410366,0.0006912261282334502,0.5596707818930041,243
2025,dm12_persistent_sell,-0.000278090798596606,0.0033443728966111056,-0.0831518515409567,-1.296209084511253,0.0002141520262651051,-1.2985672068885736,-0.0006978287700762119,0.00014164717288299997,0.48559670781893005,243
2026H1,dm01_exact_buy,0.0007420292639596953,0.003101230526855356,0.23926930214765815,2.5770092507064013,0.00029765411101146224,2.492924627979087,0.00015862720637722938,0.0013254313215421611,0.6120689655172413,116
2026H1,dm01_exact_sell,-4.183725280249299e-05,0.003127307970923945,-0.013378040535653548,-0.14408590616204062,0.0002952332354550974,-0.1417091566198552,-0.000620494394294484,0.000536819888689498,0.5172413793103449,116
2026H1,dm02_confirmed_buy,0.0007423863655287205,0.0031075296992988956,0.23889920205628729,2.5730231507320664,0.00029841122988506373,2.4877963400193033,0.00015750035495399565,0.0013272723761034453,0.6120689655172413,116
