period,formal_column,group,mean,std,icir,ordinary_t,nw_se,nw_t,ci_low,ci_high,positive_fraction,valid_days,stock_days,all_stock_days,daily_mean_n
2024-01,dm12_persistent_sell,10,-0.0025996219618049086,0.0027793831130741783,-0.9353233635105301,-4.387055444740849,0.0006276276638007227,-4.1419811645369276,-0.003829772182854325,-0.0013694717407554922,0.13636363636363635,22,6226,6226,283.0
2024-02,dm01_exact_buy,1,0.0007447267644678554,0.006795272279178132,0.10959483798019759,0.42445898232760537,0.001962570206658778,0.3794650310807134,-0.0031019108405833497,0.00459136436951906,0.6,15,4240,4240,282.6666666666667
2024-02,dm01_exact_buy,2,0.0006872941691759356,0.009186234412516993,0.07481783485074595,0.28976822837623595,0.002815492708474745,0.24411150741294863,-0.004831071539434564,0.006205659877786436,0.6,15,4250,4250,283.3333333333333
2024-02,dm01_exact_buy,3,0.0005819383700092198,0.00994749353341548,0.0585010051079079,0.22657341851932233,0.003124783104875165,0.1862332041866529,-0.005542636515546103,0.006706513255564543,0.6666666666666666,15,4241,4241,282.73333333333335
2024-02,dm01_exact_buy,4,0.0005349056304816325,0.010176290149053769,0.05256391304166678,0.20357915982187028,0.0031922447259087024,0.1675641050137115,-0.005721894032299424,0.00679170529326269,0.6,15,4248,4248,283.2
2024-02,dm01_exact_buy,5,0.0005982701759319756,0.010694796485044422,0.055940304873364835,0.2166558691563076,0.0033073953813087223,0.18088861685936158,-0.00588422477143312,0.007080765123297071,0.5333333333333333,15,4248,4248,283.2
2024-02,dm01_exact_buy,6,0.0006574032717458431,0.010757548228785689,0.06111088305295479,0.236681432336123,0.003358321652095201,0.19575351614569148,-0.005924907166360751,0.007239713709852436,0.5333333333333333,15,4247,4247,283.1333333333333
2024-02,dm01_exact_buy,7,0.00088823412974461,0.010876846041363086,0.08166283924280834,0.31627881639141026,0.0033740999831518687,0.2632506843839519,-0.005725001837233052,0.007501470096722272,0.7333333333333333,15,4242,4242,282.8
2024-02,dm01_exact_buy,8,0.0002264907142063001,0.01124691831536635,0.020138024288560197,0.07799423269511412,0.0034760588896183713,0.06515732943499297,-0.006586584709445707,0.007039566137858308,0.6,15,4247,4247,283.1333333333333
2024-02,dm01_exact_buy,9,0.0008016369271098611,0.011419518619738308,0.07019883707919657,0.271878926930856,0.003556761647716181,0.2253839324950541,-0.0061696159024138535,0.007772889756633575,0.6666666666666666,15,4245,4245,283.0
2024-02,dm01_exact_buy,10,0.0008786906268097304,0.010755183992893354,0.08169926496751131,0.31641989261655834,0.0032468915104199797,0.2706251884270914,-0.00548521673361343,0.007242597987232891,0.6666666666666666,15,4254,4254,283.6
2024-02,dm01_exact_sell,1,0.001346842926456956,0.007475845553928237,0.18015927653150188,0.6977538776712835,0.002204153841960343,0.6110476051250094,-0.002973298603785316,0.005666984456699229,0.6,15,4241,4241,282.73333333333335
2024-02,dm01_exact_sell,2,0.000826288214719433,0.009118208489340507,0.09061957901986907,0.35096812038427994,0.00280771168732692,0.294292401334875,-0.00467682669244133,0.006329403121880196,0.5333333333333333,15,4249,4249,283.26666666666665
2024-02,dm01_exact_sell,3,0.0005473905846826596,0.010001510862667257,0.054730789397620924,0.2119714358617713,0.003119010020612798,0.1755013869994277,-0.005565869055718424,0.006660650225083744,0.5333333333333333,15,4242,4242,282.8
2024-02,dm01_exact_sell,4,0.0007404959764560268,0.01028362441170352,0.07200729497795427,0.2788830542550618,0.003219881658617924,0.2299761466307651,-0.005570472074435104,0.007051464027347158,0.5333333333333333,15,4248,4248,283.2
2024-02,dm01_exact_sell,5,0.000607674930382601,0.010211612405651379,0.059508225169836795,0.23047436504513893,0.0031584549385282115,0.19239626406250634,-0.005582896749132694,0.006798246609897895,0.5333333333333333,15,4247,4247,283.1333333333333
2024-02,dm01_exact_sell,6,0.0010536288798290157,0.010295023217866408,0.10234351662272162,0.3963747354721027,0.0031756565476811554,0.3317830073905092,-0.005170657953626048,0.0072779157132840805,0.6666666666666666,15,4246,4246,283.06666666666666
2024-02,dm01_exact_sell,7,0.0003056491419977805,0.010740770049474702,0.028456911430920065,0.11021314405645288,0.0032827542257312437,0.09310753135340073,-0.006128549140435457,0.006739847424431018,0.6666666666666666,15,4243,4243,282.8666666666667
2024-02,dm01_exact_sell,8,0.000700932611943442,0.011088208340541465,0.06321423537657064,0.24482768085669387,0.0034437971117911017,0.20353481613174665,-0.006048909727167117,0.007450774951054001,0.6666666666666666,15,4248,4248,283.2
2024-02,dm01_exact_sell,9,0.00015952605834949053,0.011728443954317744,0.013601638799728597,0.0526789205524775,0.0036236246506820948,0.04402389146995731,-0.006942778256987415,0.0072618303736863956,0.6666666666666666,15,4245,4245,283.0
2024-02,dm01_exact_sell,10,0.00031013436675397853,0.011164945658715002,0.027777507946211765,0.10758182567482237,0.0034237914076203297,0.09058214412937445,-0.006400496792181867,0.007020765525689825,0.7333333333333333,15,4253,4253,283.53333333333336
