period,formal_column,group,return_percentile,median_return,winsorized_mean,tail_contribution,positive_fraction
full,dm09_two_level_sell,6,0.49302738074700175,-0.0009439691029881083,1.8625184038166505e-07,0.00021053898149653863,0.4651315451126246
full,dm09_two_level_sell,7,0.4911215771119083,-0.0006481422354204841,0.00020085553831890977,0.00021147081867582289,0.47545290190339684
full,dm09_two_level_sell,8,0.4946042805695014,-0.0006092413141642013,0.00015077051468462892,0.0001550255231134879,0.483023843285853
full,dm09_two_level_sell,9,0.49882718979979707,-0.00048534051542994337,0.00017950920387444145,0.00011608724585026409,0.489451067352345
full,dm09_two_level_sell,10,0.5021491063563701,-0.00040089098660203433,0.0002085864410196599,7.386948731421435e-05,0.4943717005878684
full,dm10_excess_cancel_buy,1,,,,,
full,dm10_excess_cancel_buy,2,,,,,
full,dm10_excess_cancel_buy,3,0.49112860047738055,-0.005682510787093073,-0.00548309519637749,6.419630436068735e-05,0.28989909611573
full,dm10_excess_cancel_buy,4,0.5019369393521588,-0.0002864323308464943,0.0002441852051227535,9.972751413003995e-05,0.4971346539946321
full,dm10_excess_cancel_buy,5,0.5016912343277583,-0.00022622173013063545,0.0003135242284110402,9.458259562198131e-05,0.4942045756476594
full,dm10_excess_cancel_buy,6,0.528059288209163,-0.004245745203947884,-0.0032655135252731508,0.0006116887091235755,0.3759885780741124
full,dm10_excess_cancel_buy,7,0.4871799198422466,-0.002483691406734307,-0.0016906300042306953,0.00012058955484736785,0.4218150046726219
full,dm10_excess_cancel_buy,8,0.48617252693326235,-0.00110987603451185,-0.00023382793382821062,0.0002297031044407618,0.44881844333636794
full,dm10_excess_cancel_buy,9,0.4958928203931811,-0.0005990469838143635,0.0003030691734859061,0.00017812978594481882,0.4841665174813762
full,dm10_excess_cancel_buy,10,0.5016698949744011,-0.000426718066773861,0.00015012849171442723,8.816644496980496e-05,0.4913208886446772
full,dm10_excess_cancel_sell,1,,,,,
full,dm10_excess_cancel_sell,2,,,,,
full,dm10_excess_cancel_sell,3,0.48836688200415396,-0.007564963796872701,-0.007334193965343061,7.41052093007004e-05,0.22760414552124278
full,dm10_excess_cancel_sell,4,0.5035928481336356,-0.0005241586398920337,-4.633246124982826e-06,0.00011209987033211229,0.48875462652720153
full,dm10_excess_cancel_sell,5,0.501520111802854,-0.0002799756833759239,0.0002679762325283475,8.92480318066297e-05,0.4929027946821432
full,dm10_excess_cancel_sell,6,0.5337351824457661,-0.0032630058178847315,-0.004373354892329921,0.0002153189573330075,0.37948795387350814
full,dm10_excess_cancel_sell,7,0.4929419533640904,-0.001475285919684914,-0.0008426661050823412,0.000788566116417226,0.4375497823319954
full,dm10_excess_cancel_sell,8,0.4954970708176064,-0.0011957496431780575,-0.0003456034308510849,7.874246508126771e-05,0.4559241484776303
full,dm10_excess_cancel_sell,9,0.48688880520408856,-0.0008720847154677036,2.2055700695999813e-05,0.0001258017803158028,0.4703643605161121
full,dm10_excess_cancel_sell,10,0.49865646415497433,-0.0005174391649301557,6.50346404584143e-05,7.702302733460756e-05,0.48719038136924364
full,dm11_recent_buy,1,0.49725593738914237,-0.000414626229088069,-0.00012873696265727148,2.003634877591597e-05,0.4572145464055424
full,dm11_recent_buy,2,0.49501247717331276,-0.0005839606687942629,-9.235032699278357e-05,9.362080737910592e-05,0.47959756261563496
full,dm11_recent_buy,3,0.4977376764414635,-0.000527413836505626,1.1413522044561922e-05,0.00010979325116203069,0.48542956430344286
full,dm11_recent_buy,4,0.4990700027790758,-0.0004822909567279295,3.3414894869736853e-05,0.0001070767072505276,0.48909574343470097
full,dm11_recent_buy,5,0.5001341848423411,-0.0004894097362832726,8.014169640525705e-05,9.267993599918873e-05,0.49046971455379
full,dm11_recent_buy,6,0.5004474336840935,-0.0004835876013090941,0.0001032276912051213,9.273712886865935e-05,0.49063773671540195
full,dm11_recent_buy,7,0.5011272461051215,-0.0004678828044286652,0.00014361560810392248,0.0001117807484299889,0.49311630845879567
full,dm11_recent_buy,8,0.5033584779807704,-0.00040998902146580134,0.00020866984530202787,9.75834033977564e-05,0.49553368551920945
full,dm11_recent_buy,9,0.5033225678650655,-0.00040407324114013354,0.00019627565741571994,9.715784002491377e-05,0.49368013340260225
full,dm11_recent_buy,10,0.504284304871338,-0.00034864380299577354,0.0002672203121025763,0.00010012293329902904,0.494948702623758
full,dm11_recent_sell,1,0.5116058426673551,-0.00013441479566891258,0.00031105163055417237,6.884703752684661e-05,0.4758398523839667
full,dm11_recent_sell,2,0.5070739097819469,-0.00033699488418723696,0.0002402534975889349,0.00012357052123910956,0.4943113310499381
